,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13
1.0,-0.09507188821967537,1.4217110094677696,0.35622368110707275,-0.5228395423083237,-0.9807785996116407,0.4825601688386233,0.5880248013401516,-0.17655683370063663,0.2651358763015243,-0.3040385172073733,-0.04116011618045668,-0.0008748372039862825
1.0,-0.24210543045644145,0.8700940921355151,0.5256506704829086,-0.4291974744618877,-0.7243341339361419,0.5829699244697718,0.26637517425442364,0.18638693399631284,0.03455692903920452,0.01149395217714052,0.021326199658670986,-0.11455070318508663
1.0,0.16974710025213244,0.09206934959815691,1.0318191333701678,-0.3015285186840572,-0.4190342470023674,0.4994740648132354,-0.09132483985561246,0.1560739451115875,0.18509732174258514,-0.22108328039162872,-0.36156454737234206,-0.23020590584241166
1.0,1.2250185675834584,-0.2739660438128549,2.176873119548236,-0.0952783262521673,-0.10073040779170184,-0.31846374814333095,-0.28687489463150395,0.10440734750812561,1.1470723855688527,0.02315179544044435,-0.2875593118019241,-0.03226981528457901
1.0,1.4717582714470931,1.25120936511827,4.1107913560049125,0.28507502362677045,0.03959647989949854,-2.200761729374366,-0.5697024069816328,-0.26514692049404587,2.84010010816054,2.2234311335005503,0.22332442766719865,0.29467661404105505
1.0,1.0362413604777343,2.1241552348491295,4.901557371454842,0.23011089801951548,0.09676398609620385,-3.2626574812340343,-0.1279047224705454,0.3403389585420645,3.332691321879084,3.032262145878329,0.7314424143141556,1.1716195137344558
1.0,-0.34889492784174914,1.236396938122891,4.053065175149795,0.323863918239412,0.010800050909764651,-1.9773402564134563,-0.5153806126619966,0.45545747309266554,1.7928415007343954,1.8116105276430896,0.28606981906615375,0.17073870839846803
1.0,-2.4491803622449644,0.3441629821516606,4.034646166830287,0.8284370659083468,-0.13789919943853163,-0.8218835676718355,-1.0095939019127818,0.07758747796522555,1.206541109662509,2.0672128726216803,0.42687514005199956,0.39220217282378966
1.0,-0.678402372542776,0.3251299019235646,-2.5589585974742293,2.2912451822372293,0.5244302932819349,-2.988538085910071,0.3824406042994762,-0.7173219258659536,0.24453314828673034,-0.331064338433004,-0.15219943151736523,0.2617131218653718
1.0,-0.8631086870521237,-0.13435355102672347,-2.404053563964463,2.395245993027216,0.7616925529466643,-2.9273741943521503,0.11072992301999844,-0.32856644158422893,-0.07281681978617201,0.02040989413433466,-0.012003348095508324,0.0813656824254217
1.0,-0.9607990362837352,-0.3749743204643347,-2.322467202569495,2.450009339497915,0.8855524259819789,-2.894994561924591,-0.03157043622878758,-0.12546547578909023,-0.23941944480908514,0.2043792399547027,0.061823253931424016,-0.013109342077095649
1.0,-1.0868117937829758,-0.6503232880567937,-2.2222225244787888,2.517012990542723,1.0217974958181695,-2.8528687391100434,-0.19501265750653324,0.09994458444593386,-0.4362441187504778,0.4135887409198688,0.15231612769840117,-0.1218178311927025
1.0,-1.1887813616083278,-1.019855839992143,-2.100916210973419,2.5785795259793822,1.1754697291426028,-2.76710267055489,-0.40816623512071903,0.3062268079848775,-0.5623045968486465,0.5985915151411109,0.1730864032241675,-0.17141493973606953
1.0,-0.9823870417488495,-2.0150445217184596,-1.89316547396696,2.642632552188802,1.4321053728017943,-2.4998362960677665,-0.7174702906396229,0.4161267859622219,-0.4063371105866929,0.40526627097299794,-0.13846525017315447,0.09713781095404404
1.0,-1.2028764409821737,-2.66798014490117,-1.4948137614243207,2.8793351815281887,1.5354040801791409,-2.2618379902644894,-0.9490255841699308,0.5088863943699079,-0.8185814877127446,0.6150034870649171,-0.1627100759733959,0.0294901636689827
1.0,-1.7635392652343842,-3.064167702050809,-1.271911451876399,3.0108565697088014,1.6469308114885544,-2.086995768629249,-1.264262264670149,0.738295902139121,-1.1010067539428268,0.873296653874601,0.154681555913288,-0.10894651609130927
1.0,-0.07004229155018,1.2539976668832904,-0.02000403055576289,0.5267901478938646,-1.442422110573335,0.1074512900507478,0.6404731769792608,0.17689301760203544,0.3770803397151853,-0.3351858646447538,-0.08538468163553985,-0.036187356076293406
1.0,0.29385322897967553,-0.005381120385586175,0.277918031232531,0.5863577006656996,-1.0474657141174482,0.3257688480608941,0.22272098622346556,0.4773256622199993,0.609756204402235,-0.5934999837515823,-0.5183695103291609,0.20385183848136404
1.0,2.4415331826744278,-0.4570611616653992,-0.4969953493539634,0.8282182041487918,-1.0924499221355783,1.0398182252158337,-1.2300796934554683,0.025127987023529336,0.4142379571125614,-0.10989394563644227,0.3364403364813099,1.952085805447408
1.0,5.251832044070357,-1.1793311916164801,-0.365101911476408,1.1285810984397986,-1.1266599706157807,0.8583377942710103,-1.3420723697130095,-1.2406260143080259,0.06594376296512006,-0.41133055812756836,1.352018068233454,1.184144166102961
1.0,4.792647672174095,0.158689992079589,-0.805220472288449,0.8413076542485163,-1.0358944824288647,0.17951224503238497,-0.2764237201124053,-0.37020562171349203,-1.127735678296601,-0.37299064798442244,-0.09677219670704794,1.3462503294781603
1.0,3.601160100607987,-0.11140269906169734,0.277196274221841,0.7976657876546625,-0.8062999108049589,-0.5452747643734557,0.6200384855679245,0.17467567737992765,-0.4969035877455658,-0.2495207825957548,-0.39493499969588314,1.1681269872700648
