,State,Age Group,Peak,Adult respiratory distress syndrome,All other conditions and causes (residual),Alzheimer disease,Cardiac arrest,Cardiac arrhythmia,Cerebrovascular diseases,Chronic lower respiratory diseases,Diabetes,Heart failure,Hypertensive diseases,Influenza and pneumonia,"Intentional and unintentional injury, poisoning, and other adverse events",Ischemic heart disease,Malignant neoplasms,Obesity,Other diseases of the circulatory system,Other diseases of the respiratory system,Renal failure,Respiratory arrest,Respiratory failure,Sepsis,Vascular and unspecified dementia,COVID-19 Deaths,Total Deaths,Pneumonia Deaths,Pneumonia and COVID-19 Deaths,Influenza Deaths,"Pneumonia, Influenza, or COVID-19 Deaths",Tables Death Rate,Average Age of Death,Average Age,Population,LATITUDE,LONGITUDE
38,Arizona,25-34,First,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,71.0,1624.0,58.0,31.0,0.0,107.0,0.013277041388209912,266.7332965235569,264.52964735009704,8993367,300.314394,-1006.7787900000002
40,Arizona,35-44,First,15.0,39.0,0.0,11.0,0.0,0.0,0.0,13.0,0.0,0.0,69.0,0.0,0.0,0.0,35.0,0.0,10.0,0.0,0.0,46.0,0.0,0.0,172.0,1997.0,105.0,71.0,0.0,218.0,0.017626708815805612,356.9834683823941,354.5840541948932,8031015,300.314394,-1006.7787900000002
42,Arizona,45-54,First,59.0,118.0,0.0,27.0,0.0,0.0,0.0,58.0,0.0,19.0,199.0,0.0,10.0,0.0,29.0,0.0,10.0,22.0,0.0,149.0,27.0,0.0,376.0,3287.0,345.0,199.0,0.0,525.0,0.03683648756705224,451.29890883973167,445.3713642354235,7662006,300.314394,-1006.7787900000002
44,Arizona,55-64,First,148.0,295.0,0.0,67.0,16.0,10.0,14.0,143.0,22.0,79.0,451.0,0.0,28.0,11.0,58.0,32.0,24.0,47.0,0.0,373.0,68.0,0.0,819.0,7222.0,861.0,470.0,13.0,1228.0,0.07743623969145119,539.6601754142836,535.161520408476,7926633,300.314394,-1006.7787900000002
46,Arizona,65-74,First,191.0,425.0,0.0,105.0,38.0,22.0,80.0,180.0,36.0,132.0,677.0,0.0,59.0,17.0,34.0,48.0,34.0,124.0,11.0,529.0,97.0,10.0,1177.0,11384.0,1374.0,722.0,35.0,1863.0,0.15037505188956857,629.1620780306836,623.3348667485258,6765291,300.314394,-1006.7787900000002
48,Arizona,75-84,First,179.0,470.0,41.0,150.0,78.0,36.0,122.0,176.0,61.0,220.0,714.0,0.0,122.0,38.0,11.0,67.0,28.0,89.0,20.0,593.0,53.0,131.0,1350.0,14180.0,1614.0,792.0,10.0,2201.0,0.4235630013048648,717.1140499970772,708.6818045851501,3700773,300.314394,-1006.7787900000002
50,Arizona,85+,First,121.0,383.0,130.0,90.0,62.0,13.0,93.0,100.0,87.0,169.0,522.0,0.0,107.0,11.0,0.0,38.0,20.0,59.0,23.0,485.0,17.0,193.0,1157.0,15081.0,1309.0,560.0,0.0,1932.0,0.7772554904222488,765.0,765.0,1311633,300.314394,-1006.7787900000002
54,Arkansas,0-24,First,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,521.0,0.0,0.0,0.0,0.0,0.007284121342236176,95.65050423622273,109.24230060098108,8801109,316.28322000000003,-833.8971870000001
56,Arkansas,25-34,First,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,555.0,0.0,0.0,0.0,0.0,0.01415398365352303,269.1486915652305,264.7954470563783,3550626,316.28322000000003,-833.8971870000001
58,Arkansas,35-44,First,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,923.0,11.0,0.0,0.0,58.0,0.02407147830817849,357.57623616537836,354.6693525008331,3321873,316.28322000000003,-833.8971870000001
